swarm,w,c1,c2,weighted,makespan,cost,runtime
30,0.4,1.5,1.5,1143.6410834982194,524.3070834982193,619.3340000000001,62.25400185585022
30,0.4,1.7,1.7,1619.4155279782788,517.4585279782787,1101.957,67.27923583984375
30,0.6,1.5,1.5,1949.6584196149734,511.95141961497325,1437.707,67.53211903572083
30,0.6,1.7,1.7,2756.63433283136,535.6215764614781,2221.012756369882,79.50211882591248
30,0.8,1.5,1.5,1141.4745318559558,524.5285318559556,616.946,57.306703090667725
30,0.8,1.7,1.7,1320.9467257617728,526.0587257617728,794.8879999999999,66.74670791625977
45,0.4,1.5,1.5,2824.6712468975443,492.70891322086675,2331.9623336766776,113.66378617286682
45,0.4,1.7,1.7,1752.003020985899,534.097020985899,1217.906,103.28862500190735
45,0.6,1.5,1.5,1047.039349426197,521.9713494261971,525.0680000000001,86.53750801086426
45,0.6,1.7,1.7,1127.7063339928768,520.4283339928769,607.278,87.02546405792236
45,0.8,1.5,1.5,1333.4117301147605,533.3657301147606,800.0459999999999,85.0141270160675
45,0.8,1.7,1.7,2487.513640874314,499.1419983849365,1988.3716424893778,109.58859205245972
60,0.4,1.5,1.5,1500.1850751680463,520.9030751680461,979.282,139.16394305229187
60,0.4,1.7,1.7,1828.9448392209315,529.1048392209316,1299.84,140.4062042236328
60,0.6,1.5,1.5,1182.4430136105814,517.6150136105814,664.828,121.92202997207642
60,0.6,1.7,1.7,2379.3279875560515,514.2739875560515,1865.054,143.44028282165527
60,0.8,1.5,1.5,1245.7562152750297,531.3282152750296,714.428,115.2696168422699
60,0.8,1.7,1.7,1109.1800007914521,520.6740007914523,588.506,126.59915399551392
